.!bt   |   BitTorrent Incomplete Download file
.!qb   |   qBittorrent Partial Download file
.!ut   |   uTorrent Incomplete Download file
.#24   |   Printer data file for 24 pin matrix printer (LocoScript)
.#ib   |   Printer data file (LocoScript)
.#sc   |   Printer data file (LocoScript)
.#st   |   Standard mode printer definitions (LocoScript)
.$#!   |   Cryptext
.$$$   |   Temporary file
.$00   |   Pipe file (DOS)
.$01   |   Pipe file (DOS)
.$db   |   Temporary file (dBASE IV)
.$ed   |   Editor temporary file (MS C)
.$er   |   GroupWise Database
.$o1   |   Pipe file (DOS)
.$vm   |   Virtual manager temporary file (Windows 3.x)
.^^^   |   Pervasive.SQL Database file
.__a   |   File Splitter & Joiner Encrypted file
.__b   |   File Splitter & Joiner Encrypted Archive file
._dd   |   Norton Disk Doctor Recovered file
._eml   |   Windows Live Mail Email file
._nws   |   Windows Live Mail Newsgroup Copy file
._p   |   Malicious Software Removal Tool Temporary file
.~$~   |   Temporary file (1st Reader)
.~ap   |   Old AppExpert project database (Borland C++ 4.5)
.~de   |   Project backup (Borland C++ 4.5)
.~hm   |   HostMonitor TestList Backup file
.~mn   |   Menu backup (Norton Commander)
.{pb   |   Corel WordPerfect Document Index file
.201$201   |   Temporary file (1st Reader)
.000   |   Image Data Recovery file
Compressed harddisk data (DoubleSpace)
.001   |   Norton Ghost Span file
Multiple Volume Compressed file
Fax (many)
.075   |   75×75 dpi display font (Ventura Publisher)
.085   |   85×85 dpi display font (Ventura Publisher)
.091   |   91×91 dpi display font (Ventura Publisher)
.096   |   96×96 dpi display font (Ventura Publisher)
.0b   |   Printer font with lineDraw extended character set (PageMaker)
.0xe   |   F-Secure Renamed Virus file
.1   |   Inno Setup Binary file
Roff/nroff/troff/groff source for manual page (cawf2.zip)
.10   |   IBM Voice Type Script file
.113   |   Iomega Backup file
.123   |   Lotus 1-2-3 Spreadsheet file
.15u   |   Printer font with PI font set (PageMaker)
.1pe   |   TurboTax Form file
.1ph   |   TurboTax file
.1st   |   Usually README.1ST text
.2   |   Setup Factory 6.0 setup launcher
.264   |   Ripped Video Data file
.2d   |   2d Drawings (VersaCad)
.2da   |   2 Dimensional Data Array file
.2dl   |   2d Libraries (VersaCad)
.3d   |   3d Drawings (VersaCad)
.3dl   |   3d Libraries (VersaCad)
.3dv   |   3D VRML World
.301   |   Fax (Super FAX 2000 – Fax-Mail 96)
.386   |   Intel 80386 processor driver (Windows 3.x)
.3da   |   3D Assembly file
.3dd   |   ArcGlobe Document file
.3dr   |   3DMark Benchmark file
.3ds   |   Graphics (3D Studio)
.3dt   |   Database for 3D mind map / concept map (3D Topicscape)
.3fx   |   Effect (CorelChart)
.3g2   |   3GPP2 file format
.3gp   |   3GPP Multimedia file
.3gr   |   Data file (Windows Video Grabber)
.3ko   |   NGRAIN Mobilizer
.3me   |   TurboTax Form file
.3mm   |   3D Movie Maker Movie Project
.3pe   |   TurboTax 2008 Form file
.3t4   |   Binary file converter to ASCII (Util3)
.411   |   Sony Mavica Data file
.4c$   |   Datafile (4Cast/2)
.4dv   |   4D View Ultrasound file
.4mp   |   4-MP3 Database file
.4sw   |   4dos Swap File
.4th   |   Forth source code file (ForthCMP – LMI Forth)
.5cr   |   Preconfigured drivers for System 5cr and System 5cr Plus
.669   |   Music (8 channels) (The 669 Composer)
.6cm   |   Music (6 Channel Module) (Triton FastTracker)
.777   |   7-Zip compressed file archive
.7z   |   7-Zip archiving format
.8   |   A86 assembler source code file
.8b?   |   Adobe Photoshop Plugin file
.8ba   |   Adobe Photoshop Plugin file
.8bf   |   Adobe Photoshop Plugin file
.8bi   |   Adobe Photoshop Plugin file
.8cm   |   Music (8 Channel Module) (Triton FastTracker)
.8li   |   Photoshop Scripting Plug-in
.8m   |   Printer font with Math 8 extended character set (PageMaker)
.8pbs   |   Adobe Photoshop Macintosh file
